Code,Company,Address,City,State,Zipcode,Tel.
AF6182,Aero Fluid Products,313 Gillett Street,Paineville,OH,44077,440-352-6182
AA4519,Atomic Aerospace,25345 Avenue Stanford #203,Valencia,CA,91355,661-621-4519
BE5503,Quantic BEI,1100 Murphy Dr.,Maumelle,AR,72113,501-851-4000
,"EMBE Industries, Inc.",700 Ivy St.,Glendale,CA,91204,818-548-8800
GA0576,Gramercy Aerospace,17224 Gramercy Place,Gardena,CA,90247,310-515-0576
HR5850,H & R Rubber and Tool,12455 Branford St. #17,Arleta,CA,91331,818-899-5850
,Northrop Grumman,21240 Burbank Blvd.,Woodland Hills,CA,91367,818-715-2764
,"Structural Integrity Engineering, Inc.",9525 Vassar Ave.,Chatsworth,CA,91311,818-718-2195
SA8884,"Skurka Aerospace, Inc.",4600 Calle Bolero,Camarillo,CA,93012,805-484-8884
TS1046,T-System,"10231 Canoga Ave., #101",Chatsworth,CA,91311,818-631-1046
RS6000,"Ryerson, Inc.",P.O. Box 91601,Lubbock,TX,79490-1601,602-455-3361
DK9811,Dukes Aerospace,9060 Winnetka Ave.,Northridge,CA,91324,818-700-8361
